Especie;Nome;Status;X;Y
Fraxinus angustifolia;Freixo;OK;-8.66038826;40.63244545
Crataegus monogyna;Pilriteiro;OK;-8.6600115;40.63222558
Alnus glutinosa;Amieiro;OK;-8.66031146;40.63237763
Alnus glutinosa;Amieiro;OK;-8.66046544;40.63243604
Alnus glutinosa;Amieiro;OK;-8.66048653;40.63251145
Alnus glutinosa;Amieiro;OK;-8.66058413;40.63241482
Crataegus monogyna;Pilriteiro;OK;-8.6605096;40.63238122
Salix atrocinerea;Salgueiro;OK;-8.66054158;40.63246729
Acer negundo;Bordo comum;OK;-8.65589907;40.63237515
Acer negundo;Bordo comum;OK;-8.65714932;40.63614998
Acer negundo;Bordo comum;OK;-8.65726056;40.63605563
Acer negundo;Bordo comum;OK;-8.65691388;40.63633025
Acer negundo;Bordo comum;OK;-8.65745314;40.63592102
Acer negundo;Bordo comum;OK;-8.65709081;40.63619502
Acer negundo;Bordo comum;OK;-8.65781342;40.63428685
Acer negundo;Bordo comum;OK;-8.65800315;40.63402067
Acer negundo;Bordo comum;OK;-8.65838547;40.63243356
Acer negundo;Bordo comum;OK;-8.65823537;40.63232104
Acer negundo;Bordo comum;OK;-8.65703136;40.63623908
Acer platanoides;Ácer da Noruega;OK;-8.65700031;40.63018454
Acer platanoides;Ácer da Noruega;OK;-8.65705158;40.63014484
Acer platanoides;Ácer da Noruega;OK;-8.65708148;40.63024603
Acer platanoides;Ácer da Noruega;OK;-8.65716296;40.63030707
Acer platanoides;Ácer da Noruega;OK;-8.6572143;40.63026763
Acer platanoides;Ácer da Noruega;OK;-8.65730964;40.62994631
Acer platanoides;Ácer da Noruega;OK;-8.65739108;40.63000799
Acer platanoides;Ácer da Noruega;OK;-8.65747282;40.63006812
Acer platanoides;Ácer da Noruega;OK;-8.6571337;40.63020613
Acer platanoides;Ácer da Noruega;OK;-8.65660278;40.62980632
Acer platanoides;Ácer da Noruega;OK;-8.65742;40.63010864
Acer platanoides;Ácer da Noruega;OK;-8.65655105;40.62984623
Acer platanoides;Ácer da Noruega;OK;-8.65645433;40.62977422
Acer platanoides;Ácer da Noruega;OK;-8.65722765;40.6298839
Acer platanoides;Ácer da Noruega;OK;-8.65691823;40.63012332
Acer platanoides;Ácer da Noruega;OK;-8.65676508;40.62953553
Acer platanoides;Ácer da Noruega;OK;-8.65671272;40.6295758
Acer platanoides;Ácer da Noruega;OK;-8.65650576;40.62973471
Acer platanoides;Ácer da Noruega;OK;-8.65717469;40.62992397
Acer platanoides;Ácer da Noruega;OK;-8.65696971;40.63008284
Acer platanoides;Ácer da Noruega;OK;-8.65733938;40.63004832
Acer platanoides;Ácer da Noruega;OK;-8.65725692;40.62998633
Aesculus hippocastanum;Castanheiro da Índia;OK;-8.65708923;40.63488299
Aesculus hippocastanum;Castanheiro da Índia;OK;-8.65724684;40.63476043
Aesculus hippocastanum;Castanheiro da Índia;OK;-8.65739311;40.63464509
Aesculus hippocastanum;Castanheiro da Índia;OK;-8.65743854;40.6346037
Aesculus hippocastanum;Castanheiro da Índia;OK;-8.65748271;40.63456882
Aesculus hippocastanum;Castanheiro da Índia;OK;-8.65864948;40.63280885
Aesculus hippocastanum;Castanheiro da Índia;OK;-8.65862831;40.63275607
Aesculus hippocastanum;Castanheiro da Índia;OK;-8.65869386;40.63296272
